location,country,latitude,longitude,activity,description,price_class,prominence_score,tags,image_url
Great Wall of China,China,40.431908,116.570374,Walk along the ancient ramparts and enjoy panoramic views.,"An iconic ancient defensive fortification, stretching thousands of miles.",$$,10,"historical site,monument,iconic",https://images.unsplash.com/photo-1690732597540-fc55e0c6c5e3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxHcmVhdCUyMFdhbGwlMjBvZiUyMENoaW5hJTIwQ2hpbmF8ZW58MHx8fHwxNzY3MTA4MDQ5fDA&ixlib=rb-4.1.0&q=80&w=1080
Forbidden City,China,39.907403,116.391306,Explore imperial palaces and courtyards.,Former imperial palace complex of Ming and Qing dynasties.,$$,9,"historical site,palace,imperial",https://images.unsplash.com/photo-1681495388843-42440711c89d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxGb3JiaWRkZW4lMjBDaXR5JTIwQ2hpbmF8ZW58MHx8fHwxNzY3MTA2OTQyfDA&ixlib=rb-4.1.0&q=80&w=1080
Terracotta Army,China,34.395757,109.254408,Marvel at the vast collection of life-sized warrior statues.,Ancient terracotta sculptures depicting the armies of the first Emperor.,$$,9,"historical site,army,archaeology",https://images.unsplash.com/photo-1629829224589-d66689617d07?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxUZXJyYWNvdHRhJTIwQXJteSUyMENoaW5hfGVufDB8fHx8MTc2NzEwNzY0NHww&ixlib=rb-4.1.0&q=80&w=1080
Potala Palace,China,29.657761,91.117529,Visit the former residence of the Dalai Lama and explore its religious art.,"Iconic fortress-palace in Lhasa, a symbol of Tibetan Buddhism.",$$,9,"palace,monastery,religious site",https://images.unsplash.com/photo-1624386748285-577003092e09?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxQb3RhbGElMjBQYWxhY2UlMjBDaGluYXxlbnwwfHx8fDE3NjcxMDgwNTB8MA&ixlib=rb-4.1.0&q=80&w=1080
Mausoleum of the First Qin Emperor,China,34.395757,109.254408,Visit the burial site of China's first emperor.,The tomb complex of Emperor Qin Shi Huang.,$$,8,"historical site,mausoleum,imperial",https://images.unsplash.com/photo-1560044351-2f9f32a494cc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxNYXVzb2xldW0lMjBvZiUyMHRoZSUyMEZpcnN0JTIwUWluJTIwRW1wZXJvciUyMENoaW5hfGVufDB8fHx8MTc2NzEwNjcxNXww&ixlib=rb-4.1.0&q=80&w=1080
Bund,China,31.245095,121.488879,Stroll along the waterfront and admire colonial-era architecture.,Historic waterfront promenade with colonial buildings in Shanghai.,$,8,"architecture,waterfront,historical",https://images.unsplash.com/photo-1527909807752-5313440823db?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxCdW5kJTIwQ2hpbmF8ZW58MHx8fHwxNzY3MTA4MDUwfDA&ixlib=rb-4.1.0&q=80&w=1080
Oriental Pearl Tower,China,31.239835,121.503368,Ascend for panoramic views of Shanghai's skyline.,Iconic TV tower offering spectacular city vistas.,$$$,8,"tower,observation deck,modern",https://images.unsplash.com/photo-1704249125698-78ae8aaaa9ed?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxPcmllbnRhbCUyMFBlYXJsJTIwVG93ZXIlMjBDaGluYXxlbnwwfHx8fDE3NjcxMDgwNTF8MA&ixlib=rb-4.1.0&q=80&w=1080
Yungang Grottoes,China,40.124025,113.247351,Explore ancient Buddhist cave temples with intricate carvings.,A collection of 5th- and 6th-century Buddhist cave art.,$$,7,"historical site,grottoes,religious",https://images.unsplash.com/photo-1700225337025-881ca8d5ecd1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxZdW5nYW5nJTIwR3JvdHRvZXMlMjBDaGluYXxlbnwwfHx8fDE3NjcxMDgwNTF8MA&ixlib=rb-4.1.0&q=80&w=1080
Longmen Grottoes,China,34.603604,110.976938,Admire thousands of Buddhist statues carved into cliffs.,Ancient Buddhist cave art and sculptures dating back centuries.,$$,7,"historical site,grottoes,religious",https://images.unsplash.com/photo-1764333944783-bdee01f4ff0f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxMb25nbWVuJTIwR3JvdHRvZXMlMjBDaGluYXxlbnwwfHx8fDE3NjcxMDgwNTJ8MA&ixlib=rb-4.1.0&q=80&w=1080
Temple of Confucius,China,35.392392,116.588125,Visit the birthplace and burial site of Confucius.,A historic temple complex dedicated to Confucius.,$,6,"historical site,temple,religious",https://images.unsplash.com/photo-1766020716677-be321b1c9637?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxUZW1wbGUlMjBvZiUyMENvbmZ1Y2l1cyUyMENoaW5hfGVufDB8fHx8MTc2NzEwODA1Mnww&ixlib=rb-4.1.0&q=80&w=1080
