location,logical_location,country,spot,latitude,longitude,activity,description,price_class,prominence_score,tags,image_url
Kathmandu Durbar Square,Kathmandu Valley,Nepal,Kathmandu Durbar Square,27.706,85.308,"Explore the palaces, temples, and courtyards, visit museums, and shop for handicrafts.","A UNESCO World Heritage site, showcasing Newari architecture and royal history with over 50 temples.",$$,9,"temples,palaces,museums,handicrafts,history",https://pixabay.com/get/g06593b32dc0fdc2e080db53fff184f229b10a4b468f33db29d25faffecc7300f4d24cfb77a3aeb95771f152307a48fd632110f3a6abc72bbae8d539d186bebed_640.jpg
Hampi,Karnataka,India,Virupaksha Temple and Vittala Temple complex,15.335,76.46,"Explore the ancient ruins, marvel at temple architecture, and cycle through the historical landscape.","A UNESCO World Heritage site, with stunning ruins of the Vijayanagara Empire and impressive temple architecture.",$$,8,"ruins,temples,architecture,history,UNESCO",https://pixabay.com/get/g317dfe0e0d6e92c90c8d2887bf4ad96f294641b7079d2e4955c10ad994703594fb06dde972165783de1dce56a4c0099c9a3f2a57999b536230d6e5a4ebd8a166_640.jpg
Old Delhi,Delhi,India,"Chandni Chowk, Jama Masjid, and spice markets",28.6562,77.2151,"Wander through bustling markets, visit historic mosques and temples, and sample street food.","A historic walled city with narrow lanes, vibrant bazaars, ancient mosques, and diverse culinary experiences.",$$,9,"markets,food,mosques,temples,history",https://pixabay.com/get/g3f8758c78059727e825b4ae4786747c9ffa4252451b1e6137b6793de3505bd7c89f8d392c0c68ce521cbd5f488f9a6479169118e7030edf46a8d80aad6528fbd_640.jpg
Bagan,Mandalay Region,Myanmar,"Ananda Temple, Shwezigon Pagoda, and surrounding temples",21.171,94.875,"Explore thousands of ancient temples and pagodas, witness sunrise/sunset views, and take a hot air balloon ride.","An archaeological zone with over 2,000 temples and pagodas, offering a glimpse into ancient Burmese architecture.",$$$,9,"temples,pagodas,archaeology,history,UNESCO",https://pixabay.com/get/ge6ad97817d378aa7764a0de116ae5891ed4d92edb502712fa4d2a67fc4b1afd9a2ba4f68dcf1bddf7004cf4002726126b47b0e6f52b90f8b8883230f6b2334ed_640.jpg
Jaipur,Rajasthan,India,"Hawa Mahal, City Palace, and Johari Bazaar",27.0238,78.2758,"Visit magnificent palaces and forts, shop for textiles and jewelry in vibrant bazaars.","The 'Pink City,' known for its stunning palaces, historic forts, colorful markets, and rich Rajasthani culture.",$$,9,"palaces,forts,markets,culture,architecture",https://pixabay.com/get/g19bc6ecc92799a56f87df3d2fdb6f3b238ce1a7b0550368d0194fd6dffd235e8b786a7ad612d54839f94299d3b15fe64d4daef60a153f4a65424199843ed4e5e_640.jpg
Ubud,Bali,Indonesia,"Taman Saraswati Temple, Ubud Monkey Forest, and art museums",-8.5077,115.2625,"Explore sacred temples, immerse in Balinese art at museums, and wander through craft villages.","The cultural heart of Bali, renowned for its traditional arts, crafts, temples, and lush natural landscapes.",$$,8,"culture,art,temples,nature,crafts",https://pixabay.com/get/g6ea2ee487d85635a60584f1680743986341f275e7b23a099f14d3029f611b15799dd14daf70d57bf495a7c4c878b034e80582bcca76bceb2cb26ff21fdb8c922_640.jpg
Kandy,Central Province,Sri Lanka,"Temple of the Sacred Tooth Relic, Kandy Lake, and local markets",7.2927,80.637,"Visit the revered Temple of the Tooth, explore bustling local markets, and enjoy scenic lake views.","A UNESCO World Heritage city, known for the Temple of the Sacred Tooth Relic and its rich Sinhalese cultural heritage.",$$,8,"temples,culture,markets,UNESCO,spirituality",https://pixabay.com/get/gbe1fab490d6f4eca3681e52ef40c86a350a82883418b5bfbc0a27a021d232e98e9d5e360898d63ea5158e0434ad1d3f7_640.jpg
Varanasi,Uttar Pradesh,India,"Ghats of the Ganges, Kashi Vishwanath Temple",25.3176,82.9739,"Witness ancient rituals on the ghats, experience the Ganga Aarti ceremony, and visit sacred temples.","One of the world's oldest living cities, renowned for its sacred ghats, ancient temples, and spiritual significance.",$$,9,"spirituality,temples,Ganges,rituals,culture",https://pixabay.com/get/gb41af83ad214d5e30f606949a92418121295ac9eb4c4b71ccd54b007170276b5ee8a88c13b81bbd6e06b3cd98e989ab37d882a733dbd25d87b1125a6657e6d5f_640.jpg
Amritsar,Punjab,India,Golden Temple (Harmandir Sahib) and Hall Bazaar,31.6199,74.8779,"Experience the serenity of the Golden Temple, visit the Langar, and shop for traditional Punjabi crafts.","Home to the iconic Golden Temple, Amritsar offers a spiritual experience and vibrant local markets.",$$,9,"temples,Sikhism,markets,culture,spirituality",https://pixabay.com/get/g66f2b31a1deffcfb8444a4c9ee23fe0604fadae61e8b977ba2f41b4926a5867dd995d05652009c864e050a7548a5fdc9a20682fe08dd5d207ddb3e25208e0177_640.jpg
Bhaktapur,Kathmandu Valley,Nepal,"Bhaktapur Durbar Square, Nyatapola Temple, and Pottery Square",27.6738,85.4313,"Explore well-preserved medieval architecture, visit ancient temples, and observe traditional pottery making.","A well-preserved medieval city with stunning Newari architecture, temples, and a vibrant craft culture.",$$,8,"medieval,architecture,temples,crafts,UNESCO",https://pixabay.com/get/g2604472d44a4ad2fe06b38af723b0ced1b16b20f73ee440da69f2b397f272c6f732844b08ebbd17564181980a604212d2970d9f3ff3d3b5bd240b9a25b6b1647_640.jpg
