location,country,spot,latitude,longitude,activity,description,price_class,prominence_score,tags,image_url
Varanasi,India,Kashi Vishwanath Temple,25.3129,83.0156,"Visit one of the most sacred Hindu temples dedicated to Shiva, experience the spiritual atmosphere.","A holiest shrine of Hinduism, known for its golden spire.",$$,9,"religion,culture,history",https://pixabay.com/get/g552150598966f88cb73ac9b03622b1ebd7bbe4ceb69dafd5d7e46252e5c0e91e5f79a3a7705eb25a6302adc24b6ca2fa24688f9ad3407827e3a7dfee70435f91_640.jpg
Kathmandu,Nepal,Boudhanath Stupa,27.721463444611686,85.36193302461182,"Circumambulate the massive stupa, spin prayer wheels, and observe Buddhist rituals.","Largest stupa in Nepal, a center of Tibetan Buddhism.",$$,8,"religion,culture,spirituality",https://pixabay.com/get/g9db14e5893c15178e65e820a1408b4ecdd62b3591f950e6273c5dc61ac74340a71c2ad8aff30b68d97513033ce1e2ad1eac0722ff2740eef30614227b5c2b9de_640.jpg
Amritsar,India,Golden Temple (Sri Harmandir Sahib),31.61994,74.876515,"Explore the stunning golden temple complex, partake in the community kitchen (langar).","The holiest gurdwara of Sikhism, a symbol of peace.",$$,9,"religion,culture,architecture",https://pixabay.com/get/g3a5e7e10ef35d0ad4751f567d698c732b6aff3da26f63e8c5eea5a05747fe833ee145f658ce4d6969529203e484175c4584d84463103955e4b54e31cf942b97e_640.jpg
Hampi,India,Vijaya Vittala Temple,15.3368,76.4621,"Admire the famous stone chariot and the musical pillars, explore the ruins.",Magnificent 15th-century temple known for its architecture.,$$,7,"history,architecture,unesco",https://pixabay.com/get/g39f4800c7f25a4c40640280a09de26084d06bde295be9b63d7e1545a18b8129f98764b763dccc46b5a6f95ae97ec8f55_640.jpg
Jaipur,India,Hawa Mahal,26.9239,75.8267,Photograph the unique facade and learn about its historical purpose.,Iconic 'Palace of Winds' with intricate honeycomb facade.,$$,8,"architecture,history,iconic",https://pixabay.com/get/g2c4e46d4870b7fb09ba9727a9a8043b6dc57be5019d42a65b938a5be7bfc14dd27f812565336fb8a8f688ce51cc24a5fc95d88827d37c18025c00262a3ea4084_640.jpg
Kandy,Sri Lanka,Temple of the Sacred Tooth Relic,7.293627,80.64135,Witness the sacred tooth relic (on specific occasions) and explore the temple complex.,Sacred Buddhist temple housing the relic of Buddha's tooth.,$$,8,"religion,culture,unesco",https://pixabay.com/get/gd391f904ddbf7dbec5fdce358acef50dfa409a00a4d2faedd709eef3f7c567d72f16a962b605afb7caa273abd8a94a2b_640.jpg
Bagan,Myanmar,Ananda Temple,21.170582,94.866615,Explore the temple's architecture and admire the four standing Buddha statues.,"Architectural masterpiece of Bagan, known as 'Westminster Abbey of Burma'.",$$,8,"architecture,history,religion",https://pixabay.com/get/g179c7be36ca43fb2c9b14d144572cfe1c1bc1fcfec07390a64dbb984249bc28524633149c60149b05788e8cd4bd7f22b4f3e23dceb1fc8cac96fb1b84485d50a_640.jpg
Udaipur,India,City Palace,24.57659432828747,73.68349537454664,"Tour the sprawling palace complex, museums, and enjoy views of Lake Pichola.",Grand palace complex overlooking Lake Pichola.,$$$,7,"history,architecture,royal",https://pixabay.com/get/g424abef3cb78bbd2300c5205013d0627b51448d7081003ec178ef831a26aad238b94730d47abd0bebcb5bc2bb7d7278e83ce2fa4319ae969a9d53effb0ea20d0_640.jpg
Kolkata,India,Victoria Memorial,22.544763594969268,88.34249342450852,"Visit the museum, stroll through the gardens, and admire the marble architecture.",Iconic marble monument and museum dedicated to Queen Victoria.,$$,8,"history,architecture,museum",https://pixabay.com/get/ga3c450dc1e051774e95469bed83d8008bc98912c142422560dd155abba62fc68ddf99b0bbef16d40b4cc5d31d76f7edeaef81b588c971792250e36e6d93c7350_640.jpg
Dhaka,Bangladesh,Lalbagh Fort,23.71879172657177,90.38797720721494,"Explore the incomplete Mughal fort, including the Tomb of Pari Bibi and the mosque.",An incomplete 17th-century Mughal fort complex.,$$,6,"history,architecture,fort",https://pixabay.com/get/g61313673b8a6417f0bfb7a121dfc8ec9dbb6ed655452c79fdfa724adf7025cc3194e0a68e62fb97eaa61d88cd6bc6f8eac9b0c286b7405582dc724f6e36ddc4e_640.jpg
Jebel Shams,Oman,Jebel Shams Summit (South Summit),23.23694,57.26389,Hike to the summit for panoramic views of the 'Grand Canyon of Arabia'.,"Oman's highest peak, offering stunning canyon vistas and challenging hikes.",$$,7,"hiking,mountaineering,adventure,scenic",https://pixabay.com/get/g6ce62f52c282b0ca94e4ba5afd046ea9ccb1f328b222817d087a883f6b8c63bb9020fd161a1d9e3ad393c16a9302317acabd3789a503104189a5b3915c8916f9_640.jpg
Petra,Jordan,Treasury Viewpoint Trail,30.3285,35.4444,Hike to a viewpoint overlooking the iconic Treasury building.,"Ancient city carved into rock, offering unique hiking and historical exploration.",$$,9,"hiking,history,adventure,archaeology",https://pixabay.com/get/g887da5eb9be56f790ba9ca0ac4be4834c3b8727a2bb4ebe9fcc0e486ad8802808712c1b6d55a8aaa62947afe13db1c3dcfe08f37ea8df9ab3126bfaff067f692_640.jpg
Wadi Rum,Jordan,Jebel Rum Climbing Area,29.532075,35.421288,Rock climbing on sandstone formations with varying difficulty levels.,Vast desert landscape with dramatic sandstone mountains for climbing.,$$,8,"climbing,adventure,desert,scenic",https://pixabay.com/get/g47f84f3ed119256ef587a90546838b8f417af9719da948b30cb65c27e940121cae45454e08da63293c76cb5d5421e6f1155e5d24e4436752c0cc8cfb734d7cac_640.jpg
Mount Sinai,Egypt,Mount Sinai Summit,28.5372,33.9707,Hike to the summit for sunrise views and historical significance.,Sacred mountain offering a challenging hike and spiritual experience.,$$,8,"hiking,religious,adventure,sunrise",https://pixabay.com/get/g00339fce87facd980e0bf88ec27219fc88f8261b00e4dc040b11b5414e57ed322a0e670548059124f93cedb91250c529a6bf5b17223749d3f60dfb33ff256920_640.jpg
Jebel Jais,United Arab Emirates,Jais Flight Zipline,25.95,56.17,Experience the world's longest zipline with thrilling speeds over mountains.,World's longest zipline offering an adrenaline rush with stunning mountain views.,$$$$,7,"zip-lining,adventure,thrill-seeking,scenic",https://pixabay.com/get/g04e6783c4c3eadaf03ae90e4731eb1108d196abb542055e6f7345da1dd2b038d26af15fcdb5e50437efc2ffe6eaf76cc3c738443d882f5ed14f7adb28eb9ddc7_640.jpg
Dana Biosphere Reserve,Jordan,Wadi Ghuweir Trail,30.6833,35.6167,"Hike through diverse landscapes, canyons, and ancient Nabataean routes.",Jordan's largest nature reserve with diverse ecosystems and hiking trails.,$$,6,"hiking,nature,adventure,ecotourism",https://pixabay.com/get/g662980f50bd52e62ada9b1d339e0462a2a8a6339e5a7dfd619b68e74d1acfe79cab50075b90be8c7ba987bc73963b55a07aa5496672a0f2311f5397e66323fdd_640.jpg
Hatta,United Arab Emirates,Hatta Wadi Hub,24.785,56.138,Enjoy various adventure activities including zip-lining and mountain biking.,"Adventure hub offering zip-lining, mountain biking, and other outdoor activities.",$$,5,"adventure,zip-lining,biking,outdoor",https://pixabay.com/get/ga2316109b03acd991c5104382a1802a55172d2d6ed7b887c20b536bb6715926227008a23302bd0f5772c4b70d7e198df36caff949a1b7c1e62d1d9edab7ac23f_640.jpg
Musandam Peninsula,Oman,Jebel Shams,25.8116,56.27487,Rock climbing on spectacular sea cliffs and inland limestone mountains.,Dramatic coastal and mountain landscapes ideal for climbing and exploration.,$$$,6,"climbing,adventure,scenic,coastal",https://pixabay.com/get/g642cebf89c0811cb1eeb7fec8431a10e5be891086eb0ba28cd6e3a683752bd91ae55027e08252d4124d50bb089bbd1395a1da77890bd26b7aefc09e220f4879f_640.jpg
Judaean Mountains,Israel,Ein Prat Nature Reserve,31.875,35.2444,Rock climbing and hiking in a scenic canyon with a monastery.,"Beautiful canyon offering climbing and hiking, close to Jerusalem.",$$,5,"climbing,hiking,nature,adventure",https://pixabay.com/get/ge93b787d39ad8a2aa01a736cf883739fcf6b2b2c9f70ebadd708563afb4d7e9e47d8ed5ef4afbfd3025951708c571d637dfe6837cbb8552ccd8f9ed6a85ed7a8_640.jpg
Al Hajar Mountains,Oman,Wadi Bani Awf,23.3,57.1,Trekking and exploring canyons within the rugged mountain range.,"Vast mountain range with diverse geology, offering trekking and climbing.",$$,7,"hiking,trekking,adventure,mountains",https://pixabay.com/get/g32b481e36004b546a2292159937bf896b574a908e64706103f72071564ef2cf1a05a2a350204c90dc63b2caf5c7ff4870d27411bf1e5bc6fd9bd6d3f8bb30ffe_640.jpg
Paris,France,Le Marais District,48.857,2.363,"Explore charming streets, discover artisan bakeries, and enjoy diverse bistros.","Historic district with trendy boutiques, galleries, and culinary delights.",$$$,8,"foodie,historic,shopping",https://pixabay.com/get/gcdc54427a63d46ec6eb06494095968f69bebaac006c87801f92c3cfc0202d864fc2bfe0cd10e7e0a51e78b22464da7fc711ef961a65e90b4f968e399537bc86c_640.jpg
Bologna,Italy,Quadrilatero Market,44.495,11.344,"Sample local produce, cheeses, cured meats, and fresh pasta in this vibrant market area.","Bologna's ancient market, a paradise for food lovers.",$$,7,"foodie,market,authentic",https://pixabay.com/get/g6adaa3ff01cabe4b43a6ce69d1fee636ab273788e817a52408fff06d7554e9e451ac96e052272d787fa80afa63c61c2eeea1851ca55b5aa92f57e40b81efdc3d_640.jpg
San Sebastián,Spain,La Parte Vieja (Old Town),43.317,-2.003,Indulge in world-renowned pintxos (Basque tapas) hopping between atmospheric bars.,Famous for its vibrant pintxos culture and Michelin-starred restaurants.,$$$,8,"foodie,nightlife,tapas",https://pixabay.com/get/g81a92c5007904a0610feb156927a60cf0ca3dea96a68d4e9ee9d10e53a669f143890cbda049f7d04a7b32c81812e1ffe_640.jpg
