location,logical_location,country,spot,latitude,longitude,activity,description,price_class,prominence_score,tags,image_url
Beijing,,China,Forbidden City,39.9151,116.3883,Explore the imperial palace complex and its museums.,"Vast imperial palace complex, China's former political center.",$$,10,"history,culture,architecture",https://pixabay.com/get/ge12ef3804eb6f990fbf5d46b4059ed0e48936ce74f22cd2599994776c09afa9c4c1d23177eba3e3f848cc3f6c8a2fa76_640.jpg
Kyoto,,Japan,Kinkaku-ji (Golden Pavilion),35.0335,135.7292,Admire the gold-leaf-covered Zen Buddhist temple and its gardens.,Stunning Zen Buddhist temple covered in gold leaf.,$,8,"temple,gardens,zen",https://pixabay.com/get/g5b4f2c2daed7279d08a710c87006051567db651374a8c0050c4134d835f428979de4b76171237e4a6cb3cddd187ba29023c2569f7bf9e3106260707a684f7676_640.jpg
Seoul,,South Korea,Gyeongbokgung Palace,37.5795,126.9771,Wander through the grand royal palace and witness the changing of the guard.,"Largest of Seoul's Five Grand Palaces, a historical gem.",$,8,"palace,history,culture",https://pixabay.com/get/gd82d76b643b636041e4e6bb09ac7d81dfe81a7aea0a5adba73a0115697759dca3840f99a6f193a3c86ed38a9c75296b4147fc2ec3725a72fef67800a54d0cf3d_640.jpg
Siem Reap,,Cambodia,Angkor Wat,13.4125,103.8667,"Explore the magnificent temple complex, a UNESCO World Heritage site.","Iconic 12th-century Hindu temple complex, largest religious monument.",$$,10,"temple,ancient,unesco",https://pixabay.com/get/g90506cd942da7b8fe3cc4b2a61f029abdd402ef31d8efb5e8fa95f932e11f2bd4c60cfa275232971c5ac925bbc5038f7_640.jpg
Hoi An,,Vietnam,Hoi An Ancient Town,15.8798,108.3355,Stroll through well-preserved ancient town with Japanese Bridge.,Charming ancient town with well-preserved architecture.,$,7,"historic,town,culture",https://pixabay.com/get/g99da664ac259e08887e57128a42cfd65edc475d0cf2a9b1bf95a965b2d15cce2f8daa9f79fe78b8011d4033d1eb02778ebdcf36b23cc35196ba6d9320d7a21a4_640.jpg
Phnom Penh,,Cambodia,Royal Palace of Cambodia,11.5524,104.9229,"Visit the royal residence, a stunning example of Khmer architecture.",Ornate royal residence showcasing Khmer architectural splendor.,$,6,"palace,architecture,royal",https://pixabay.com/get/g4fead3e419aff09584bcf1d870a68073a283527d10a0eb45d76c8180d825add065f9bd1727bba40f91736c11bdbe6fd5a45c889986ee29e6e341a3ffa53f1c6b_640.jpg
Taipei,,Taiwan,Taipei 101,25.0339,121.5647,Ascend to the observation deck for breathtaking city views.,Iconic skyscraper offering panoramic views of Taipei.,$$,8,"skyscraper,views,modern",https://pixabay.com/get/gb934fd94a391dc4cf1a6339b7db8e4005114b2e4bb98869c1174c428715c8c5d3c74849df15adb0654467c78044f140a8bf340d1791ec915628f48d909eafeaf_640.jpg
Bagan,,Myanmar,Bagan Archaeological Zone,21.1747,94.871,Witness thousands of ancient temples and pagodas at sunrise/sunset.,Ancient city with thousands of Buddhist temples and pagodas.,$,8,"ancient,temples,archaeology",https://pixabay.com/get/g13502fc90b9deaa9430c689e5837daf4f9c751e4c2ad544358ac71284e800f7774fd2114c2fd6733bd9ba1f268f7d3bc37ad487b4cf2c557874fa41a1efffb4c_640.jpg
Incheon,,South Korea,Incheon Landing Operation Memorial Hall,37.447,126.4309,Learn about the pivotal Korean War battle and its significance.,Memorial commemorating the decisive Incheon Landing.,$,4,"history,war,memorial",https://pixabay.com/get/g704512a5db0e320a04c0613fe09f8dfbade0ea016fec417b43c734a3762395787834ddcfb3cfa7db71ca9110fb36b48eb56e525501e904d8bbd612539936b731_640.jpg
Hiroshima,,Japan,Hiroshima Peace Memorial Park,34.3952,132.4501,Reflect on peace at the iconic Atomic Bomb Dome and museum.,Moving memorial park dedicated to the victims of the atomic bomb.,$,9,"peace,history,memorial",https://pixabay.com/get/g8d934f7bef8d98fb37ff8799c3e310c20351570d380da1d1c57c0eca4ef7a24365e266239a7640d7d6185f3d1cf7892e3f68bb86bab0331a0f2e6891d864cc9d_640.jpg
Amritsar,,India,Golden Temple (Harmandir Sahib),31.620132,74.876091,"Explore the stunning architecture, experience the spiritual ambiance, and partake in the community kitchen (langar).","The holiest shrine in Sikhism, renowned for its golden dome and serene sarovar (holy pool).",$,9,"spiritual, architecture, culture, community",https://pixabay.com/get/g908961b515a941e39b9bc1bb713a7e14df19dfbcbbb7aabe5de5816df7125268fdafbdebd43783ca3182a048bf540218608e2906957ae89e7e339bc485bdd37b_640.jpg
