location,country,latitude,longitude,activity,description,price_class,prominence_score,tags,image_url
Great Wall of China,China,40.4319,116.5704,Walk along and explore the ancient fortifications,An iconic ancient defensive structure snaking across mountains.,$$,10,"history,architecture,iconic",https://images.unsplash.com/photo-1690732597540-fc55e0c6c5e3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxHcmVhdCUyMFdhbGwlMjBvZiUyMENoaW5hJTIwQ2hpbmF8ZW58MHx8fHwxNzY3MTA4MDQ5fDA&ixlib=rb-4.1.0&q=80&w=1080
Forbidden City,China,39.9142,116.3914,Tour the vast imperial palace complex,"The former imperial palace, a vast complex of courtyards and halls.",$$,9,"history,architecture,imperial",https://images.unsplash.com/photo-1681495388843-42440711c89d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxGb3JiaWRkZW4lMjBDaXR5JTIwQ2hpbmF8ZW58MHx8fHwxNzY3MTA2OTQyfDA&ixlib=rb-4.1.0&q=80&w=1080
Angkor Wat,Cambodia,13.4125,103.8676,Explore the largest religious monument in the world,"A magnificent temple complex, the largest religious monument globally.",$$,9,"history,religion,architecture",https://images.unsplash.com/photo-1680960964783-cc3a22c141b1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxBbmdrb3IlMjBXYXQlMjBDYW1ib2RpYXxlbnwwfHx8fDE3NjcxMDgwNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
Mount Fuji,Japan,35.3606,138.7278,Hike to the summit for sunrise views,"Japan's tallest peak, an iconic stratovolcano and cultural symbol.",$,9,"nature,hiking,iconic",https://images.unsplash.com/photo-1526481280693-3bfa7568e0f3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxNb3VudCUyMEZ1amklMjBKYXBhbnxlbnwwfHx8fDE3NjcxMDczNjN8MA&ixlib=rb-4.1.0&q=80&w=1080
Tokyo Tower,Japan,35.6586,139.7454,Ascend for panoramic city views,A distinctive red and white lattice tower offering city vistas.,$$,7,"views,architecture,city",https://images.unsplash.com/photo-1748250696821-ef55891cf1b0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxUb2t5byUyMFRvd2VyJTIwSmFwYW58ZW58MHx8fHwxNzY3MTA2NzEzfDA&ixlib=rb-4.1.0&q=80&w=1080
Potala Palace,China,29.657,91.117,Visit the former residence of the Dalai Lama,"A majestic fortress-palace, a symbol of Tibetan Buddhism.",$$,8,"history,religion,architecture",https://images.unsplash.com/photo-1624386748285-577003092e09?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxQb3RhbGElMjBQYWxhY2UlMjBDaGluYXxlbnwwfHx8fDE3NjcxMDgwNTB8MA&ixlib=rb-4.1.0&q=80&w=1080
Terracotta Army,China,34.3945,109.259,Marvel at thousands of life-sized warrior statues,An astonishing collection of terracotta sculptures depicting the armies of Qin Shi Huang.,$$,9,"history,archaeology,sculpture",https://images.unsplash.com/photo-1629829224589-d66689617d07?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxUZXJyYWNvdHRhJTIwQXJteSUyMENoaW5hfGVufDB8fHx8MTc2NzEwNzY0NHww&ixlib=rb-4.1.0&q=80&w=1080
Shwedagon Pagoda,Myanmar,16.7847,96.149,Experience the spiritual ambiance of a golden stupa,"A glittering golden pagoda, a significant Buddhist pilgrimage site.",$,8,"religion,architecture,spiritual","https://source.unsplash.com/800x600/?Shwedagon,Pagoda,Myanmar"
Himeji Castle,Japan,34.8385,134.7031,Explore one of Japan's most beautiful feudal castles,A stunning example of Japanese castle architecture.,$$,7,"history,architecture,feudal",https://images.unsplash.com/photo-1678694905260-a34d8818c09b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxIaW1lamklMjBDYXN0bGUlMjBKYXBhbnxlbnwwfHx8fDE3NjcxMDY5NDV8MA&ixlib=rb-4.1.0&q=80&w=1080
Kinkaku-ji (Golden Pavilion),Japan,35.0344,135.7292,Admire the gold-leaf-covered Zen Buddhist temple,A serene Zen temple covered in shimmering gold leaf.,$$,7,"religion,architecture,zen","https://source.unsplash.com/800x600/?Kinkakuji,Golden,Pavilion,Japan"
Bagan Archaeological Zone,Myanmar,21.1752,94.874,"Explore thousands of ancient temples, pagodas, and stupas, many dating back to the 11th and 12th centuries. Witness sunrise or sunset over the plains from a temple.","Vast archaeological site with over 2,000 temples and pagodas.",$$,8,"history,architecture,spiritual,scenic","https://source.unsplash.com/800x600/?Bagan,Archaeological,Zone,Myanmar"
Kathmandu Durbar Square,Nepal,27.7061,85.3088,"Wander through ancient palaces, temples, and courtyards, and observe traditional Newari craftsmanship. Visit the Kumari Ghar, the residence of the Living Goddess.",Historic royal complex showcasing Newari architecture and tradition.,$,7,"history,architecture,culture,religious","https://source.unsplash.com/800x600/?Kathmandu,Durbar,Square,Nepal"
Golden Temple (Sri Harmandir Sahib),India,31.6209,74.8764,"Experience the spiritual ambiance, witness prayer ceremonies, and partake in the community kitchen (langar) serving free meals.","Holist shrine of Sikhism, known for its golden dome and community kitchen.",$,9,"spiritual,culture,religious,community","https://source.unsplash.com/800x600/?Golden,Temple,Sri,Harmandir,Sahib,India"
Varanasi Ghats on the Ganges,India,25.3176,83.0054,"Witness daily rituals, boat rides on the Ganges, and the Ganga Aarti ceremony. Observe life and death cycles at the cremation ghats.","Sacred riverfront with ghats for bathing, rituals, and cremations.",$,9,"spiritual,religious,culture,scenic","https://source.unsplash.com/800x600/?Varanasi,Ghats,on,the,Ganges,India"
Galle Fort,Sri Lanka,6.0336,80.2172,"Stroll through cobblestone streets, explore colonial architecture, visit Dutch churches, boutique shops, and art galleries.","Historic colonial fort, a UNESCO World Heritage Site with European architecture.",$$,7,"history,architecture,culture,colonial","https://source.unsplash.com/800x600/?Galle,Fort,Sri,Lanka"
Hampi,India,15.334,76.454,"Explore the ruins of the Vijayanagara Empire, including temples, royal pavilions, and the iconic stone chariot.",UNESCO World Heritage Site with ancient temples and ruins of an empire.,$$,8,"history,architecture,ruins,UNESCO","https://source.unsplash.com/800x600/?Hampi,India"
Jaipur (Pink City),India,27.0238,74.0598,"Visit Amber Fort, City Palace, Hawa Mahal, and Jantar Mantar. Explore vibrant local markets and witness traditional crafts.","Known as the 'Pink City', famed for royal architecture and vibrant bazaars.",$$,8,"history,architecture,culture,markets","https://source.unsplash.com/800x600/?Jaipur,Pink,City,India"
Temple of the Sacred Tooth Relic,Sri Lanka,7.2927,80.6375,Experience Buddhist rituals and admire the temple's architecture. Witness the Esala Perahera festival if visiting in July/August.,Venerated Buddhist temple housing a relic of Buddha's tooth.,$,8,"religious,spiritual,culture,architecture","https://source.unsplash.com/800x600/?Temple,of,the,Sacred,Tooth,Relic,Sri,Lanka"
Old Dhaka,Bangladesh,23.7124,90.3954,"Take a rickshaw ride through narrow streets, visit Lalbagh Fort, Ahsan Manzil (Pink Palace), and experience the bustling Sadarghat river terminal.","Historic district with Mughal architecture, bustling markets, and vibrant street life.",$,7,"history,culture,markets,architecture","https://source.unsplash.com/800x600/?Old,Dhaka,Bangladesh"
Bhaktapur Durbar Square,Nepal,27.6745,85.4319,"Explore medieval architecture, temples, and squares. Observe artisans crafting pottery and traditional Newari art.",Well-preserved medieval city with intricate Newari architecture and crafts.,$$,7,"history,architecture,culture,medieval","https://source.unsplash.com/800x600/?Bhaktapur,Durbar,Square,Nepal"
Wadi Rum Desert,Jordan,29.5733,35.4214,Rock climbing,Vast desert with sandstone formations offering diverse climbing routes.,$$,8,"adventure,outdoor,climbing,desert","https://source.unsplash.com/800x600/?Wadi,Rum,Desert,Jordan"
Jebel Shams,Oman,23.1568,57.1883,Hiking,"Oman's highest peak, known for its Grand Canyon and challenging trails.",$$$,7,"adventure,hiking,mountains,scenic","https://source.unsplash.com/800x600/?Jebel,Shams,Oman"
Mount Sinai,Egypt,28.0571,33.9778,Hiking,Sacred mountain offering sunrise hikes and historical significance.,$$,9,"adventure,hiking,religious,cultural","https://source.unsplash.com/800x600/?Mount,Sinai,Egypt"
Jebel Jais,United Arab Emirates,25.9451,56.1744,Zip-lining,Home to the world's longest zipline and sky bridge.,$$$$,8,"adventure,zip-lining,extreme,scenic","https://source.unsplash.com/800x600/?Jebel,Jais,United,Arab,Emirates"
Musandam Fjords,Oman,26.1409,56.4432,Hiking,Dramatic fjords offering hiking trails with stunning coastal views.,$$$,6,"adventure,hiking,coastal,scenic","https://source.unsplash.com/800x600/?Musandam,Fjords,Oman"
Dana Biosphere Reserve,Jordan,30.6778,35.613,Hiking,Jordan's largest nature reserve with diverse ecosystems and hiking trails.,$$,7,"adventure,hiking,nature,biodiversity","https://source.unsplash.com/800x600/?Dana,Biosphere,Reserve,Jordan"
Petra,Jordan,30.3285,35.4444,Hiking,Ancient city with trails offering unique views of the Treasury and Monastery.,$$$,10,"adventure,hiking,historical,cultural","https://source.unsplash.com/800x600/?Petra,Jordan"
